ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,match_radius_m,match_candidates_k,start_window_m,end_window_m,x_3857_generated,y_3857_generated,dist_along_m_generated
1227137,2500,2500,2500,2500.0,2500,635,636.02,598.81,678.81,1,45.429051,12.356212,2.91,170126,10474000,14,1375487.2279737364,5689321.593452758,1375485.5239551566,5689320.449315636,2.052493380198237,3535,3691.012503986353,35,20,250,250,1375887.6596679005,5689057.406088333,1428.294044312438
1231423,2500,2500,2500,2500.0,2500,639,636.61,598.74,678.74,1,45.429043,12.35624,0.0,170126,10474400,14,1375490.3449194783,5689320.324478563,1375486.4488397257,5689318.676620211,4.23023339605287,3535,3691.012503986353,35,20,250,250,1375894.4410481162,5689054.162987953,1435.8113813877667
1235769,2500,2500,2500,2500.0,2500,636,636.85,598.7,678.7,1,45.429011,12.356276,5.91,170126,10474800,14,1375494.352421147,5689315.2485835785,1375490.7338318028,5689311.989449533,4.869922337211911,3535,3691.012503986353,35,20,250,250,1375901.427524091,5689051.483585132,1443.3287184630954
1240145,2500,2500,2500,2500.0,2500,634,636.99,598.66,678.66,1,45.428953,12.356326,4.48,170126,10475300,14,1375499.918395687,5689306.048531248,1375497.1972851038,5689304.386794642,3.1883869518879706,3535,3691.012503986353,35,20,250,250,1375908.9257214044,5689051.513876009,1450.8460555384238
1244521,2500,2500,2500,2500.0,2500,636,636.67,598.62,678.62,1,45.428904,12.356359,4.65,170126,10475700,14,1375503.591938883,5689298.276080615,1375502.385845585,5689297.05193696,1.7184844287180656,3535,3691.012503986353,35,20,250,250,1375911.7883240038,5689044.791185747,1458.3633926137525
1249004,2500,2500,2500,2500.0,2500,634,636.36,598.58,678.58,1,45.428859,12.356398,3.85,170126,10480200,14,1375507.933399024,5689291.138121691,1375506.4900924573,5689290.208511465,1.716772849430805,3535,3691.012503986353,35,20,250,250,1375912.8200235716,5689037.365961164,1465.8807296890811
1253320,36,2500,2500,2500.0,36,636,635.68,598.51,678.51,1,45.428825,12.356436,4.17,170126,10480600,14,1375512.163539674,5689285.745000944,1375510.4556612903,5689284.448904859,2.143994783972303,3535,3691.012503986353,35,20,250,250,1375914.740383103,5689030.098190361,1473.3980667644098
1257746,2500,2500,2500,2500.0,2500,636,635.48,598.44,678.44,1,45.428802,12.356479,3.0,170126,10481000,14,1375516.9502777783,5689282.096715222,1375514.231624949,5689279.78851347,3.5663522726525896,3535,3691.012503986353,35,20,250,250,1375915.4843509987,5689022.661979473,1480.9154038397382
1262130,2500,2500,2500,2500.0,2500,633,634.58,598.36,678.36,1,45.428746,12.356529,5.35,170126,10481500,14,1375522.516252318,5689273.21393881,1375520.2430068094,5689271.815050952,2.669181968474079,3535,3691.012503986353,35,20,250,250,1375917.1200005813,5689015.383140741,1488.432740915067
1266505,2500,2500,2500,2500.0,2500,637,635.59,598.28,678.28,1,45.428717,12.356571,2.67,170126,10481900,14,1375527.1916709314,5689268.613933061,1375523.2386935002,5689266.618289475,4.428162586662134,3535,3691.012503986353,35,20,250,250,1375918.889516026,5689008.097526617,1495.9500779903956
1270958,2500,2500,2500,2500.0,2500,635,634.81,598.21,678.21,1,45.428676,12.356619,3.54,170126,10482400,14,1375532.5350064894,5689262.11048069,1375527.7057384178,5689260.020758578,5.262011841072709,3535,3691.012503986353,35,20,250,250,1375920.274841379,5689000.711148813,1503.4674150657243
1275291,2500,2500,2500,2500.0,2500,634,634.97,598.13,678.13,1,45.428649,12.356647,2.19,170126,10482800,14,1375535.6519522315,5689257.827721952,1375530.5529137228,5689254.749333758,5.956229309704527,3535,3691.012503986353,35,20,250,250,1375921.6132637216,5688993.315194093,1510.984752141053
1279674,2500,473,2500,2500.0,473,638,634.6,598.04,678.04,1,45.428617,12.356669,3.72,170126,10483200,14,1375538.100981029,5689252.751862397,1375534.281148241,5689250.069719669,4.667441712792249,3535,3691.012503986353,35,20,250,250,1375922.5243203533,5688985.890282808,1518.5020892163814
1283975,2500,2500,882,2500.0,882,637,634.22,597.95,677.95,1,45.428576,12.356728,4.44,170126,10483700,14,1375544.6688309857,5689246.248421547,1375540.391501848,5689242.169720878,5.9102744182585045,3535,3691.012503986353,35,20,250,250,1375924.1966868464,5688978.59579746,1526.01942629171
1288359,2500,2500,808,2500.0,808,640,635.45,597.87,677.87,1,45.428534,12.356755,3.91,170126,10484100,14,1375547.6744572371,5689239.586365087,1375543.7077436836,5689237.1993818935,4.629525373252048,3535,3691.012503986353,35,20,250,250,1375925.2728923925,5688971.156178793,1533.5367633670387
1292773,2500,2500,2500,2500.0,2500,632,634.31,597.79,677.79,1,45.428493,12.356788,4.85,170126,10484500,14,1375551.3480004333,5689233.082933802,1375548.4053075393,5689230.74933039,3.755681875854843,3535,3691.012503986353,35,20,250,250,1375927.054147389,5688963.8698099945,1541.0541004423674
1297186,2500,2500,2500,2500.0,2500,633,634.63,597.71,677.71,1,45.428443,12.356825,5.59,170126,10485000,14,1375555.4668215928,5689225.15192643,1375554.0718174614,5689223.771893366,1.9622761740994863,3535,3691.012503986353,35,20,250,250,1375929.193568654,5688956.663338364,1548.571437517696
1301537,2500,2500,2500,2500.0,2500,638,635.04,597.64,677.64,1,45.428405,12.356867,6.0,170126,10485400,14,1375560.142240206,5689219.124365525,1375557.8476577215,5689217.88023715,2.61016554867165,3535,3691.012503986353,35,20,250,250,1375930.6042449449,5688949.450583175,1556.0887745930245
1305860,2500,2500,2500,2500.0,2500,635,635.49,597.58,677.58,1,45.428371,12.356906,3.7,170126,10485800,14,1375564.4837003471,5689213.731288158,1375561.6132275814,5689211.981569913,3.361715014137059,3535,3691.012503986353,35,20,250,250,1375935.6101881773,5688943.842486268,1563.6061116683532
1310230,2500,2500,2500,2500.0,2500,633,635.25,597.53,677.53,1,45.428328,12.356954,4.89,170126,10490300,14,1375569.827035905,5689206.910636138,1375566.6623000845,5689204.537392153,3.955735055202216,3535,3691.012503986353,35,20,250,250,1375940.6044350946,5688938.223958487,1571.1234487436818
1314556,2500,2500,2500,2500.0,2500,635,635.69,597.48,677.48,1,45.428289,12.356989,4.56,170126,10490700,14,1375573.723218083,5689200.724467869,1375570.850424857,5689198.933142941,3.3855259434847613,3535,3691.012503986353,35,20,250,250,1375945.4204639872,5688932.455108899,1578.6407858190105
1319017,2500,2500,2500,2500.0,2500,635,635.24,597.42,677.42,1,45.428241,12.35703,3.96,170126,10491200,14,1375578.2873172052,5689193.110728175,1375576.0723880425,5689191.619984923,2.669873899785335,3535,3691.012503986353,35,20,250,250,1375950.116507229,5688926.5850548465,1586.158122894339
1323298,2500,2500,2500,2500.0,2500,635,635.27,597.37,677.37,1,45.428207,12.357068,3.96,170126,10491600,14,1375582.5174578556,5689187.717666476,1375579.877260934,5689185.749085804,3.2933189414222293,3535,3691.012503986353,35,20,250,250,1375956.2509331133,5688922.29166659,1593.6754599696676
1327628,2500,2500,2500,2500.0,2500,635,635.71,597.34,677.34,1,45.428172,12.357103,4.07,170126,10492000,14,1375586.4136400332,5689182.165988708,1375583.9328424053,5689180.045924359,3.263285110794269,3535,3691.012503986353,35,20,250,250,1375962.6729621657,5688918.417253987,1601.1927970449963
1331967,2500,2500,561,2500.0,561,639,636.85,597.31,677.31,1,45.428125,12.357149,3.94,170126,10492500,14,1375591.5343366098,5689174.710883979,1375589.0793575016,5689172.665829392,3.1951792882083274,3535,3691.012503986353,35,20,250,250,1375969.5067088625,5688915.285120084,1608.710134120325
1336403,2500,2500,2500,2500.0,2500,636,636.08,597.28,677.28,1,45.428085,12.357193,4.37,170126,10492900,14,1375596.432394205,5689168.366118885,1375593.7040052186,5689166.144480739,3.518491510830072,3535,3691.012503986353,35,20,250,250,1375975.9252115174,5688911.408677716,1616.2274711956536
1340783,49,2500,2500,2500.0,49,635,635.75,597.25,677.25,1,45.428052,12.357229,5.39,170126,10493300,14,1375600.4398958732,5689163.131691066,1375598.0757009452,5689160.679861081,3.4060076235565524,3535,3691.012503986353,35,20,250,250,1375982.1800140436,5688907.238809366,1623.744808270982
1345295,2500,2500,2500,2500.0,2500,633,635.51,597.22,677.22,1,45.428038,12.357265,1.09,170126,10493800,14,1375604.4473975415,5689160.911025644,1375600.476741944,5689157.483156331,5.245607105358836,3535,3691.012503986353,35,20,250,250,1375988.4969664423,5688903.164349217,1631.2621453463107
1349757,2500,2500,2500,2500.0,2500,635,636.31,597.19,677.19,1,45.427987,12.357304,5.89,170126,10494200,14,1375608.7888576826,5689152.821463407,1375605.8923929464,5689150.30194101,3.838945307798989,3535,3691.012503986353,35,20,250,250,1375994.839054223,5688899.128475174,1638.7794824216394
1354167,2500,2500,2500,2500.0,2500,637,636.87,597.17,677.17,1,45.427958,12.357363,3.11,170126,10494700,14,1375615.3567076395,5689148.22151951,1375610.965568559,5689144.119008233,6.009384428192666,3535,3691.012503986353,35,20,250,250,1376001.422040148,5688895.506504164,1646.296819496968
1358526,2500,2500,2500,2500.0,2500,633,636.04,597.15,677.15,1,45.427944,12.357408,3.46,170126,10495100,14,1375620.3660847251,5689146.000857787,1375614.1711485034,5689140.283555872,8.429992644287598,3535,3691.012503986353,35,20,250,250,1376008.063824332,5688891.985558332,1653.8141565722967
1362856,2500,2500,2500,2500.0,2500,633,635.79,597.12,677.12,1,45.427919,12.357447,4.59,170126,10495500,14,1375624.7075448665,5689142.035391794,1375617.3799732944,5689136.450792926,9.213091210398144,3535,3691.012503986353,35,20,250,250,1376014.7033191114,5688888.460355224,1661.3314936476252
1367235,2500,2500,2500,2500.0,2500,632,636.3,597.1,677.1,1,45.427874,12.357485,3.83,170126,10500000,14,1375628.9376855162,5689134.897557428,1375623.1808097202,5689129.572820852,7.84183897693024,3535,3691.012503986353,35,20,250,250,1376021.30275605,5688884.860662349,1668.8488307229538
1371691,2500,2500,2500,2500.0,2500,637,636.33,597.08,677.08,1,45.427852,12.35751,0.0,170126,10500400,14,1375631.720672786,5689131.407951588,1375625.7638876075,5689126.520092439,7.705482250948306,3535,3691.012503986353,35,20,250,250,1376027.635603425,5688880.832482883,1676.3661677982825
1376145,2500,2500,2500,2500.0,2500,631,635.3,597.05,677.05,1,45.427839,12.357535,3.13,170126,10500900,14,1375634.503660056,5689129.345912411,1375626.871466826,5689124.870609931,8.847525404903173,3535,3691.012503986353,35,20,250,250,1376033.7847527002,5688876.508829239,1683.8835048736112
1380527,2500,2500,2500,2500.0,2500,637,635.48,597.0,677.0,1,45.427804,12.357583,4.74,170126,10501300,14,1375639.846995614,5689123.794270838,1375631.56253275,5689117.258540914,10.552160469584967,3535,3691.012503986353,35,20,250,250,1376040.2642027324,5688872.697388043,1691.4008419489398
1384896,2500,2500,2500,2500.0,2500,636,635.54,596.97,676.97,1,45.427784,12.357619,0.0,170126,10501800,14,1375643.8544972823,5689120.621905769,1375634.854175141,5689113.496663896,11.479323603435668,3535,3691.012503986353,35,20,250,250,1376046.8379884816,5688869.051895794,1698.9181790242683
1389265,2500,2500,2500,2500.0,2500,631,635.32,596.94,676.94,1,45.427731,12.357658,4.41,170126,10502200,14,1375648.1959574237,5689112.215143776,1375640.374657053,5689106.405961114,9.742655833144571,3535,3691.012503986353,35,20,250,250,1376053.451927283,5688865.481073111,1706.435516099597
1393661,2500,1186,2500,2500.0,1186,640,636.03,596.9,676.9,1,45.427673,12.357685,4.02,170126,10502600,14,1375651.201583675,5689103.015300073,1375645.8203475634,5689099.251675099,6.566778131794925,3535,3691.012503986353,35,20,250,250,1376060.1999972933,5688862.168384197,1713.9528531749256
