ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,x_3857_generated,y_3857_generated,dist_along_m_generated
174265,2500,670,430,2500,430,336,331.32,318.24,398.24,0,0,0,0,0,0,0,0,0,1375818.211481774,5689957.382698819,182.82326176834152
175276,2500,638,2500,2500,638,335,331.84,318.13,398.13,0,0,0,0,0,0,0,0,0,1375817.5322099002,5689959.140814258,184.7080376628605
176765,2500,2500,384,2500,384,329,331.39,317.92,397.92,0,0,0,0,0,0,0,0,0,1375816.8529380264,5689960.898929696,186.5928135573795
178485,2500,695,2500,2500,695,334,331.75,317.66,397.66,0,0,0,0,0,0,0,0,0,1375816.2786610266,5689962.68716209,188.47758945189847
179897,2500,2500,67,2500,67,328,331.04,317.45,397.45,0,0,0,0,0,0,0,0,0,1375815.9227260114,5689964.538024169,190.36236534641745
181364,2500,2500,2500,2500,2500,328,330.66,317.24,397.24,0,0,0,0,0,0,0,0,0,1375814.9039280792,5689966.074907431,192.24714124093646
182778,2500,739,842,2500,739,333,330.71,317.03,397.03,0,0,0,0,0,0,0,0,0,1375813.8469931723,5689967.6207183795,194.13191713545544
184268,2500,703,930,2500,703,330,330.02,316.81,396.81,0,0,0,0,0,0,0,0,0,1375812.2198729566,5689968.162797193,196.01669302997442
185778,2500,817,2500,2500,817,326,328.79,316.59,396.59,0,0,0,0,0,0,0,0,0,1375810.3542373343,5689968.420012677,197.9014689244934
187293,2500,2500,2500,2500,2500,322,326.52,316.36,396.36,0,0,0,0,0,0,0,0,0,1375808.575152993,5689968.991625115,199.78624481901238
188762,2500,2500,575,26,26,318,324.7,316.12,396.12,0,0,0,0,0,0,0,0,0,1375806.8672008547,5689969.788669447,201.67102071353136
190251,2500,2500,2500,34,34,322,323.3,315.86,395.86,0,0,0,0,0,0,0,0,0,1375805.389607931,5689970.910207682,203.55579660805034
191706,2500,2500,2500,14,14,321,322.02,315.59,395.59,0,0,0,0,0,0,0,0,0,1375804.0738456224,5689972.259707485,205.44057250256932
193167,2500,2500,2500,2500,2500,320,321.18,315.32,395.32,0,0,0,0,0,0,0,0,0,1375802.7580833137,5689973.609207289,207.32534839708833
194280,2500,2500,2500,2500,2500,318,320.76,315.04,395.04,0,0,0,0,0,0,0,0,0,1375801.500284971,5689975.008582859,209.21012429160731
195397,2500,2500,523,2500,523,322,320.85,314.84,394.84,0,0,0,0,0,0,0,0,0,1375800.3621485569,5689976.5109229265,211.0949001861263
196631,2500,781,2500,39,39,315,319.95,314.63,394.63,0,0,0,0,0,0,0,0,0,1375799.224012143,5689978.013262993,212.97967608064528
197843,2500,2500,2500,2500,2500,320,319.8,314.29,394.29,0,0,0,0,0,0,0,0,0,1375798.147812503,5689979.560387558,214.86445197516426
199066,2500,2500,2500,31,31,315,319.45,314.08,394.08,0,0,0,0,0,0,0,0,0,1375797.0777631132,5689981.111959173,216.74922786968324
200074,2500,2500,2500,168,168,316,319.16,313.94,393.94,0,0,0,0,0,0,0,0,0,1375796.0933369624,5689982.718664728,218.63400376420222
201335,2500,2500,2500,44,44,319,319.3,313.73,393.73,0,0,0,0,0,0,0,0,0,1375795.1236277646,5689984.334846724,220.51877965872123
202725,2500,2500,71,32,32,321,319.31,313.46,393.46,0,0,0,0,0,0,0,0,0,1375794.153918567,5689985.9510287205,222.4035555532402
204227,2500,2500,53,27,27,319,319.31,313.19,393.19,0,0,0,0,0,0,0,0,0,1375793.1842093694,5689987.567210716,224.2883314477592
205434,2500,506,47,36,36,321,319.46,312.92,392.92,0,0,0,0,0,0,0,0,0,1375792.1097884988,5689989.108613414,226.17310734227817
206459,2500,2500,2500,75,75,320,319.6,312.72,392.72,0,0,0,0,0,0,0,0,0,1375790.8957369726,5689990.550299602,228.05788323679715
207463,2500,2500,48,88,48,321,320.27,312.46,392.46,0,0,0,0,0,0,0,0,0,1375789.6290505924,5689991.945928065,229.94265913131613
208493,2500,2500,126,35,35,318,320.2,312.33,392.33,0,0,0,0,0,0,0,0,0,1375788.3612131255,5689993.340549279,231.82743502583511
209704,577,2500,2500,37,37,322,321.34,312.08,392.08,0,0,0,0,0,0,0,0,0,1375787.062215731,5689994.705048936,233.7122109203541
210927,2500,2500,2500,28,28,321,321.6,311.89,391.89,0,0,0,0,0,0,0,0,0,1375785.7113479734,5689996.0194067545,235.5969868148731
212283,2500,2500,2500,87,87,318,321.38,311.59,391.59,0,0,0,0,0,0,0,0,0,1375784.360480216,5689997.333764573,237.4817627093921
213299,2500,2500,2500,91,91,320,321.39,311.47,391.47,0,0,0,0,0,0,0,0,0,1375783.2490639845,5689998.807311697,239.36653860391107
214505,2500,2500,56,96,56,317,320.99,311.29,391.29,0,0,0,0,0,0,0,0,0,1375782.5598912071,5690000.561569675,241.25131449843005
215541,2500,2500,60,78,60,319,320.97,311.17,391.17,0,0,0,0,0,0,0,0,0,1375781.5872052384,5690002.154367893,243.13609039294903
217042,2500,599,2500,38,38,321,321.41,310.93,390.93,0,0,0,0,0,0,0,0,0,1375780.4300647697,5690003.642119925,245.020866287468
218533,2500,2500,42,87,42,324,321.94,310.7,390.7,0,0,0,0,0,0,0,0,0,1375779.3569517739,5690005.1893779645,246.905642181987
219753,2500,2500,50,87,50,322,321.97,310.53,390.53,0,0,0,0,0,0,0,0,0,1375778.337744901,5690006.774810878,248.790418076506
220782,2500,2500,54,81,54,322,322.07,310.41,390.41,0,0,0,0,0,0,0,0,0,1375777.3185380283,5690008.360243792,250.67519397102498
222020,765,2500,46,30,30,321,321.77,310.24,390.24,0,0,0,0,0,0,0,0,0,1375776.4700480935,5690010.038297025,252.55996986554396
223530,2500,2500,47,34,34,322,322.02,310.02,390.02,0,0,0,0,0,0,0,0,0,1375775.6966026416,5690011.7570646955,254.44474576006294
224765,2500,2500,49,96,49,324,322.59,309.8,389.8,0,0,0,0,0,0,0,0,0,1375774.9231571897,5690013.475832366,256.3295216545819
225981,2500,2500,55,89,55,325,323.34,309.64,389.64,0,0,0,0,0,0,0,0,0,1375774.1497117379,5690015.194600037,258.21429754910093
227008,2500,2500,54,89,54,327,323.67,309.53,389.53,0,0,0,0,0,0,0,0,0,1375773.3271098884,5690016.8902420625,260.0990734436199
228238,2500,2500,2500,85,85,323,323.83,309.38,389.38,0,0,0,0,0,0,0,0,0,1375772.4961048842,5690018.581930821,261.9838493381389
229477,2500,2500,2500,93,93,325,324.24,309.23,389.23,0,0,0,0,0,0,0,0,0,1375771.66509988,5690020.273619579,263.86862523265785
230563,2500,2500,2500,60,60,321,324.09,309.03,389.03,0,0,0,0,0,0,0,0,0,1375770.8083030207,5690021.950882764,265.75340112717686
231580,2500,2500,2500,78,78,322,324.14,308.93,388.93,0,0,0,0,0,0,0,0,0,1375769.8018459026,5690023.544439867,267.6381770216958
232803,2500,2500,152,83,83,327,324.58,308.78,388.78,0,0,0,0,0,0,0,0,0,1375768.7953887845,5690025.137996971,269.5229529162148
233811,2500,2500,2500,85,85,322,324.09,308.68,388.68,0,0,0,0,0,0,0,0,0,1375767.848024645,5690026.766068899,271.40772881073383
235321,2500,2500,46,90,46,322,323.92,308.49,388.49,0,0,0,0,0,0,0,0,0,1375766.9544527268,5690028.425559605,273.2925047052528
236774,2500,2500,61,83,61,324,323.87,308.29,388.29,0,0,0,0,0,0,0,0,0,1375766.0608808089,5690030.085050309,275.1772805997718
237782,2500,2500,64,85,64,326,324.18,308.19,388.19,0,0,0,0,0,0,0,0,0,1375765.1567150014,5690031.738234248,277.06205649429074
238793,2500,2500,42,68,42,328,324.64,308.1,388.1,0,0,0,0,0,0,0,0,0,1375764.123808322,5690033.314776021,278.94683238880975
240306,2500,2500,59,85,59,324,324.85,307.91,387.91,0,0,0,0,0,0,0,0,0,1375763.0909016428,5690034.891317795,280.8316082833287
241337,2500,2500,60,78,60,326,325.34,307.82,387.82,0,0,0,0,0,0,0,0,0,1375762.0579949634,5690036.467859569,282.7163841778477
242824,2500,2500,2500,69,69,326,325.25,307.64,387.64,0,0,0,0,0,0,0,0,0,1375761.025088284,5690038.044401342,284.6011600723667
244309,2500,2500,53,87,53,328,325.84,307.47,387.47,0,0,0,0,0,0,0,0,0,1375759.9921816047,5690039.620943116,286.4859359668857
245781,2500,2500,2500,89,89,328,326.01,307.3,387.3,0,0,0,0,0,0,0,0,0,1375758.9613354905,5690041.1984824855,288.3707118614047
246926,2500,2500,2500,90,90,327,326.07,307.08,387.08,0,0,0,0,0,0,0,0,0,1375758.3653170199,5690042.986537897,290.25548775592364
247941,2500,2500,2500,89,89,327,326.43,307,387,0,0,0,0,0,0,0,0,0,1375757.7692985493,5690044.774593309,292.14026365044265
249202,2500,2500,53,74,53,325,326.64,306.88,386.88,0,0,0,0,0,0,0,0,0,1375757.173280079,5690046.56264872,294.0250395449616
250645,2500,2500,51,101,51,327,326.71,306.72,386.72,0,0,0,0,0,0,0,0,0,1375756.4088685163,5690048.28095343,295.9098154394806
