ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,time_col_used,head_points,tail_points,start_prior_max,end_prior_max,x_3857_generated,y_3857_generated,dist_along_m_generated
2243468,2500,2500,2500,2500,2500,363,365.62,345.99,425.99,1,45.433305,12.353745,3.54,170126,14194700,17,1375212.6027899494,5689996.395959176,1375211.4170455982,5689969.036682376,27.384959680603973,173.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375160.8589032616,5689972.581073797,2683.6711776957086
2244944,2500,2500,2500,2500,2500,363,365.11,345.83,425.83,1,45.433301,12.353761,4.89,170126,14194800,17,1375214.383901802,5689995.761424231,1375212.9145152548,5689968.959242585,26.8424298047365,175.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375162.7620545805,5689972.36357079,2685.5867174371047
2246446,2500,2500,2500,2500,2500,364,365.19,345.67,425.67,1,45.433303,12.353789,4.26,170126,14195000,17,1375217.5008475443,5689996.078691699,1375215.9065365863,5689968.752896287,27.372265568135905,178.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375164.6729102398,5689972.254125655,2687.5022571785007
2247863,2500,2500,707,2500,707,361,363.88,345.5,425.5,1,45.433302,12.353801,4.59,170126,14195100,17,1375218.836681434,5689995.920057962,1375216.90387703,5689968.684114188,27.30443857893701,179.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375166.5876686065,5689972.199418273,2689.4177969198963
2249265,2500,2500,2500,2500,2500,350,359.69,345.3,425.3,1,45.433299,12.353825,3.48,170126,14195300,17,1375221.5083492128,5689995.444156774,1375218.8983279758,5689968.544130173,27.02635088265036,181.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375168.5024269733,5689972.14471089,2691.3333366612924
2250682,2500,2500,473,2500,473,348,356.03,345.08,425.08,1,45.433295,12.35384,4.09,170126,14195400,17,1375223.1781415748,5689994.809621898,1375220.386995956,5689968.363685569,26.59281937324002,182.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375170.41718534,5689972.090003508,2693.2488764026884
2252140,2500,2500,647,2500,647,340,351.48,344.83,424.83,1,45.433292,12.353856,4.89,170126,14195500,17,1375224.9592534276,5689994.333720769,1375222.3718865963,5689968.123092764,26.33802360697142,184.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375172.3321128434,5689972.041823103,2695.164416144084
2253615,2500,2500,427,2500,427,341,347.58,344.54,424.54,1,45.433289,12.353889,4.59,170126,14195700,17,1375228.6327966235,5689993.857819665,1375227.3423683215,5689967.628646801,26.260897058773757,189.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375174.2471348012,5689971.997287708,2697.07995588548
2255116,2500,2500,521,2500,521,336,344.05,344.05,424.15,1,45.433286,12.353906,4.96,170126,14195800,17,1375230.5252279672,5689993.381918588,1375229.340677312,5689967.562036501,25.84703989269613,191.5,722.2900608855213,0.5,3857,ms,0,1445,,,1375176.1621567593,5689971.952752314,2698.995495626876
2256593,2500,2500,2500,2500,2500,334,340.75,340.75,423.49,1,45.433277,12.35394,4.61,170126,14200000,17,1375234.310090654,5689991.954215504,1375232.836831907,5689967.434251791,24.56418351666308,195.0,722.2900608855213,0.5,3857,ms,0,1445,,,1375178.0771787174,5689971.90821692,2700.911035368272
