ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,x_3857_generated,y_3857_generated,dist_along_m_generated
2157235,2500,2500,2500,2500,2500,493,493.26,479.28,559.28,1,45.430061,12.354766,4.83,170126,15160600,11,1375326.2599900493,5689481.80288978,1375325.7424849577,5689481.618907591,0.549236711853857,10.0,3477.6786293824302,0.5,3857,1375321.7217739034,5689482.231348122,2579.686495034857
2158609,2500,2500,2500,2500,2500,492,493.16,479.07,559.07,1,45.43006,12.354782,4.17,170126,15160700,11,1375328.041101902,5689481.644265156,1375328.1682262225,5689481.033043914,0.6243012096111343,10.0,3477.6786293824302,0.5,3857,1375323.7290765645,5689481.906537362,2581.7273862492834
2160024,2500,2500,2500,2500,2500,487,492.85,478.86,558.86,1,45.430058,12.354814,4.74,170126,15160900,11,1375331.6033256073,5689481.32701592,1375332.014334556,5689479.93993732,1.44669118974842,10.0,3477.6786293824302,0.5,3857,1375325.7494557889,5689481.617911758,2583.76827746371
2161485,2500,2500,2500,2500,2500,491,492.38,478.65,558.65,1,45.430051,12.354826,4.7,170126,15161000,11,1375332.939159497,5689480.216643677,1375332.9229274374,5689479.522475725,0.694357707104693,10.0,3477.6786293824302,0.5,3857,1375327.7331242377,5689481.154872469,2585.8091686781363
2162892,2500,2500,2500,2500,2500,492,492.33,478.44,558.44,1,45.430043,12.354849,4.09,170126,15161200,11,1375335.4995077853,5689478.947646999,1375335.1944096405,5689478.47882174,0.5593585627031802,10.0,3477.6786293824302,0.5,3857,1375329.6984290455,5689480.604587123,2587.8500598925625
2164273,2500,2500,2500,2500,2500,492,492.49,478.24,558.24,1,45.43004,12.35486,4.39,170126,15161300,11,1375336.724022184,5689478.47177329,1375336.5572989625,5689477.852629349,0.6411987623368423,10.0,3477.6786293824302,0.5,3857,1375331.6637338533,5689480.054301777,2589.8909511069887
2165673,2500,2500,2500,2500,2500,491,491.89,478.03,558.03,1,45.430037,12.354871,3.46,170126,15161400,11,1375337.9485365823,5689477.995899608,1375337.9201882845,5689477.226436958,0.7699846730432649,10.0,3477.6786293824302,0.5,3857,1375333.5329217191,5689479.242208082,2591.9318423214154
2167119,2500,2500,2500,2500,2500,490,491.34,477.82,557.82,1,45.430026,12.354895,4.04,170126,15161600,11,1375340.620204362,5689476.2510296535,1375340.5853182718,5689475.869458344,0.3831627638991141,10.0,3477.6786293824302,0.5,3857,1375335.3874323065,5689478.39013565,2593.9727335358416
2168570,2500,2500,2500,2500,2500,490,491.05,477.6,557.6,1,45.430021,12.354905,4.3,170126,15161700,11,1375341.7333992696,5689475.457907061,1375341.8058056938,5689474.997681614,0.465886415779357,10.0,3477.6786293824302,0.5,3857,1375337.2419428942,5689477.538063218,2596.013624750268
2170024,2500,2500,2500,2500,2500,492,491.04,477.39,557.39,1,45.430014,12.354929,4.22,170126,15161900,11,1375344.4050670487,5689474.347535547,1375344.6536096788,5689472.96353591,1.4061395503676355,10.0,3477.6786293824302,0.5,3857,1375339.0964534818,5689476.685990785,2598.054515964694
2171420,2500,2500,2500,2500,2500,490,490.93,477.18,557.18,1,45.430011,12.354941,4.13,170126,15162000,11,1375345.7409009382,5689473.871662084,1375344.9621755695,5689472.572368656,1.5147859951645142,10.0,3477.6786293824302,0.5,3857,1375340.858447695,5689475.674365899,2600.0954071791202
2172814,2500,2500,2500,2500,2500,490,490.87,476.97,556.97,1,45.430005,12.354968,3.82,170126,15162200,11,1375348.7465271896,5689472.919915231,1375348.1748036945,5689471.640994969,1.4008942828646684,10.0,3477.6786293824302,0.5,3857,1375342.519189187,5689474.488121975,2602.136298393547
2174248,2500,2500,2500,2500,2500,491,491.08,476.77,556.77,1,45.430005,12.354981,4.3,170126,15162300,11,1375350.19368057,5689472.919915231,1375349.658471783,5689471.421192289,1.591420403752494,10.0,3477.6786293824302,0.5,3857,1375344.1799306793,5689473.301878053,2604.177189607973
2175710,2500,2500,2500,2500,2500,493,491.32,476.56,556.56,1,45.430001,12.355008,4.07,170126,15162500,11,1375353.1993068212,5689472.285417385,1375353.1142181733,5689470.869657088,1.4183149500349777,10.0,3477.6786293824302,0.5,3857,1375345.6613910093,5689472.013352403,2606.2180808223993
2177097,2500,2500,2500,2500,2500,492,491.56,476.36,556.36,1,45.429997,12.355024,3.52,170126,15162600,11,1375354.980418674,5689471.6509195855,1375355.0858091088,5689470.534858627,1.121025961463236,10.0,3477.6786293824302,0.5,3857,1375347.680247665,5689471.714262529,2608.2589720368255
2178548,2500,2500,2500,2500,2500,492,491.31,476.16,556.16,1,45.429996,12.355038,4.09,170126,15162700,11,1375356.538891545,5689471.492295144,1375356.5645023105,5689470.283759781,1.2088066987102473,10.0,3477.6786293824302,0.5,3857,1375349.6991043207,5689471.415172654,2610.299863251252
2180018,2500,2500,2500,2500,2500,490,491.03,475.96,555.96,1,45.429993,12.355065,3.39,170126,15162900,11,1375359.5445177965,5689471.016421831,1375359.5218887138,5689469.78156209,1.2350670654051037,10.0,3477.6786293824302,0.5,3857,1375351.7165175572,5689471.107002475,2612.3407544656784
2181446,2500,2500,2500,2500,2500,491,490.9,475.76,555.76,1,45.429993,12.355078,4.06,170126,15163000,11,1375360.9916711769,5689471.016421831,1375361.0005819153,5689469.530463245,1.4859853033910453,10.0,3477.6786293824302,0.5,3857,1375353.7286047852,5689470.765327286,2614.3816456801046
2182823,2500,2500,2500,2500,2500,489,490.81,475.57,555.57,1,45.429988,12.355102,3.57,170126,15163200,11,1375363.663338956,5689470.223299702,1375363.4350502198,5689469.005303495,1.239205595331176,10.0,3477.6786293824302,0.5,3857,1375355.7406920134,5689470.423652096,2616.422536894531
2184303,2500,2500,2500,2500,2500,490,490.6,475.37,555.37,1,45.429989,12.355114,3.57,170126,15163300,11,1375364.9991728454,5689470.381924122,1375364.827636568,5689468.448268955,1.941248824690787,10.0,3477.6786293824302,0.5,3857,1375357.7527792417,5689470.081976906,2618.463428108957
2185767,2500,2500,2500,2500,2500,490,490.31,475.17,555.17,1,45.430008,12.355135,4.09,170126,15163500,11,1375367.336882152,5689473.395788645,1375368.950557582,5689469.109654255,4.579835849077593,10.0,3477.6786293824302,0.5,3857,1375359.76486647,5689469.740301716,2620.5043193233837
2187226,2500,2500,2500,625,625,493,491.12,474.97,554.97,1,45.430017,12.355144,3.7,170126,15163600,11,1375368.3387575692,5689474.823409036,1375370.3154274167,5689469.731518026,5.462103783087688,10.0,3477.6786293824302,0.5,3857,1375361.7769536981,5689469.398626527,2622.54521053781
2188687,2500,2500,2500,2500,2500,486,490.59,474.78,554.78,1,45.43002,12.355144,0.0,170126,15163800,11,1375368.3387575692,5689475.29928255,1375370.770384028,5689469.93880595,5.886214115606448,10.0,3477.6786293824302,0.5,3857,1375363.74015521,5689468.883261498,2624.586101752236
2190179,2500,2500,2500,503,503,495,491.76,474.6,554.6,1,45.43002,12.355145,0.0,170126,15163900,11,1375368.45007706,5689475.29928255,1375371.2253406397,5689470.146093874,5.852985688014486,10.0,3477.6786293824302,0.5,3857,1375365.6350751312,5689468.12529353,2626.6269929666623
