place_id,place_title,avg_sentiment,review_count,lat,lng,geometry,x_3857,y_3857
ChIJQ-Fqo82xfkcRuCCd4JMXUcE,Gelateria Nico,0.312,10,45.4296112,12.3261576,POINT (12.3261576 45.4296112),1372141.587469639,5689410.453818114
ChIJQ0ApceqxfkcRg4ThFEmcYTo,Dodo Caff¨¨,0.38885,12,45.4460065,12.3267267,POINT (12.3267267 45.446006499999996),1372204.9393918496,5692011.5092193205
ChIJQ4y47s6xfkcRm_zwwuAk-T8,L'Osteria San Barnaba,0.9756,7,45.4327264,12.3243622,POINT (12.3243622 45.4327264),1371941.7244558688,5689904.610946614
ChIJQ92TITSxfkcRFR_uDJP2BNY,Gio's,0.9916,1,45.4320641,12.3354749,POINT (12.3354749 45.4320641),1373178.7845612073,5689799.549512939
ChIJQVaZqtKxfkcRy8s8y5RdwYk,Ristorante Casa Cappellari,0.8439000000000001,2,45.4383521,12.3335538,POINT (12.333553799999999 45.438352099999996),1372964.9286874444,5690797.0721221715
ChIJQf2sUKJmZIgRVcdS9CIDcCs,Vanderbilt University Medical Center:,0.91,1,36.1413146,-86.8018266,POINT (-86.8018266 36.1413146),-9662735.13703803,4320083.505595187
ChIJQwRPGwCvfkcRbRtSHL0vMcw,Parco delle Rimembranze,0.601,8,45.4269404,12.3591103,POINT (12.3591103 45.4269404),1375809.8652539025,5688986.8125707945
ChIJR1tJ7uKxfkcRU5NRHF745io,Ravioleria Venezia,0.5994,1,45.4341499,12.3320092,POINT (12.3320092 45.4341499),1372792.984601965,5690130.426611009
ChIJRRImroZ19YgRIuf_eUYDaMQ,Kona Grill - Alpharetta,0.99565,2,34.071486199999995,-84.2761469,POINT (-84.2761469 34.071486199999995),-9381577.758927122,4038404.9200128326
ChIJRRTpJfHNFogRYzKMZGa3GM8,Cascade Prime Steak & Seafood,0.933,1,41.6770657,-86.2461663,POINT (-86.2461663 41.6770657),-9600879.315387992,5112727.5308467075
ChIJRVO7_KqvfkcRYnEOB7a_HuU,Coco Beach,0.50984,10,45.418683,12.3821139,POINT (12.3821139 45.418683),1378370.6142923147,5687677.153794867
ChIJRW0TbKWvfkcRUcN6BvdUJaQ,Oasi Di Basilio Mirta,0.4137,1,45.4119353,12.368528,POINT (12.368528 45.411935299999996),1376858.2388223463,5686607.082057721
ChIJRWywcNuxfkcRg3m0dxfT4FU,UniCredit,0.7096,1,45.4371208,12.3361542,POINT (12.3361542 45.437120799999995),1373254.403891303,5690601.7310565645
ChIJRY06z9mxfkcRiZTLdZbwt9s,Trattoria Do Forni,0.8478,1,45.4354935,12.3392774,POINT (12.3392774 45.4354935),1373602.0769249487,5690343.572634991
ChIJRYJmKtqxfkcR3h-L56zQ18o,Ristorante da Mario alla Fava,0.3055,4,45.437206,12.337281,POINT (12.337280999999999 45.437205999999996),1373379.8386935291,5690615.247575505
ChIJR_1cWNexfkcR2XWwEQtEKVA,Caf¨¦ Venezia,-0.2542999999999999,8,45.4350534,12.3375234,POINT (12.3375234 45.4350534),1373406.8225380972,5690273.755489946
ChIJRf6ilsexfkcR4Rj0vhtVtxI,Giardini Papadopoli,0.50575,2,45.4382983,12.3206545,POINT (12.3206545 45.4382983),1371528.9851798546,5690788.536867575
ChIJRfv8EHOxfkcR6Z068jeOptk,Noemi Store - Abbigliamento Donna 2,0.7177,2,45.4439298,12.3266811,POINT (12.3266811 45.4439298),1372199.8632230693,5691682.00642466
ChIJSSe3DMSxfkcR3hPIx87KSI4,Coop,0.2639249999999999,16,45.440407,12.3276792,POINT (12.327679199999999 45.440407),1372310.97120683,5691123.083691121
ChIJSap6otmxfkcREEKsJmwKNgY,Cantina Canaletto S.R.L.,0.9067,1,45.4367966,12.3389165,POINT (12.3389165 45.4367966),1373561.9017207215,5690550.29866755
ChIJSayMSMKxfkcRZi6o2e5uQKQ,CentroMarca Banca Credito Cooperativo di Treviso e Venezia - Filiale di Venezia,-0.3089,1,45.4414169,12.3336099,POINT (12.333609899999999 45.4414169),1372971.1737108778,5691283.309505291
ChIJSwvf8tOxfkcRWHwNtBnXYfM,DIESEL STORE VENICE SAN MARCO,0.1984,12,45.4340997,12.3374426,POINT (12.3374426 45.4340997),1373397.827923241,5690122.463081483
ChIJT1nXDJG1fkcRtGVjOXXuGso,Banco BPM,0.0,1,45.4925966,12.2394367,POINT (12.239436699999999 45.4925966),1362487.8610405046,5699406.99028688
ChIJT6OLXtWvfkcRzd_t-AhD8JQ,Banco BPM,0.0,4,45.426067,12.327874,POINT (12.327874 45.426066999999996),1372332.6562436365,5688848.2785549555
