place_id,place_titl,avg_sentim,review_cou,lat,lng,x_3857,y_3857
ChIJi5BemNyxfkcR-6Lr1t3TE7M,L¡¯Alcova,0.544450000000000,"8",45.440520300000003,12.334311899999999,1373049.319993415148929,5691141.059174341149628
ChIJi5xhTQCxfkcR-4D1rYMVGjY,Albero dell¡¯ombra,0.118714285714286,"7",45.437710000000003,12.330200000000000,1372591.585379221709445,5690695.204865549691021
ChIJiWB1GtixfkcRrDv1BlczvMk,Aciugheta,0.914360000000000,"5",45.435204700000000,12.341645099999999,1373865.648083300096914,5690297.757550875656307
ChIJiX8b2dmxfkcRgpIDGXBQ2qw,"Venice San Marco Apartment, San Marco Square (Town Center)",0.180312500000000,"8",45.435004200000002,12.338409199999999,1373505.429343041963875,5690265.950471439398825
ChIJiYRBbtexfkcRG_b_RJa70AI,Piazza San Marco,0.921900000000000,"8",45.434166800000000,12.338471699999999,1373512.386811216594651,5690133.107561783865094
ChIJi_7bSdyxfkcROSqa8RX66ww,Frutta e Verdura Eredi di Maccanin Marco SNC,0.018528571428571,"7",45.441593099999999,12.337797000000000,1373437.279550778213888,5691311.264832759276032
ChIJibDE4O-xfkcR8-JwSiAz0eA,Longchamp,0.402012500000000,"8",45.432753900000002,12.333828000000000,1372995.452491820091382,5689908.973330855369568
ChIJibJNcMWxfkcR3lM5iZm0ERA,Trattoria Da Ignazio,0.788350000000000,"8",45.436669799999997,12.328660800000000,1372420.242418992565945,5690530.182687088847160
ChIJic35_MaxfkcRvYl9zx4KzL0,Luggage Storage Venice,0.221157142857143,"7",45.439337500000001,12.323033499999999,1371793.814248451497406,5690953.405158042907715
ChIJi49FrNuxfkcRCg-gDTc2Dis,Trattoria alla Madonna,0.696150000000000,"6",45.438226200000003,12.334512800000001,1373071.684079115046188,5690777.098369996063411
ChIJifu7VNixfkcRqoEhCUtGJqY,Pasta & Pasta,0.853257142857143,"7",45.436514099999997,12.339658099999999,1373644.456255093449727,5690505.481974802911282
ChIJj6LBONexfkcR8DpFO3GL4T0,Louis Vuitton Venice,0.912512500000000,"8",45.433238299999999,12.336438200000000,1373286.018626688281074,5689985.815094844438136
ChIJj9J9y8OxfkcRaHG5jd1zpIU,Marilyn Studio Venice,0.829814285714286,"7",45.443235799999997,12.329146200000000,1372474.276899823918939,5691571.894552940502763
ChIJjQQpX9exfkcRyQQRzsZqTrc,Dal Corso Gilberto,0.000000000000000,"8",45.435590200000000,12.330363000000000,1372609.730456221150234,5690358.913125871680677
ChIJjZ7fALixfkcREd5FJl0ljOw,Trattoria Al Vinatier,0.412862500000000,"8",45.437199800000002,12.318931700000000,1371337.203961116028950,5690614.263978367671371
ChIJjZhi6cmxfkcRQTF2RBjLL_4,Park in Fondamenta de la Pescaria,0.000000000000000,"4",45.432425899999998,12.317680100000000,1371197.876486439025030,5689856.942122795619071
ChIJh99wf8-xfkcReHhAJO0x94g,Crai,-0.043916666666667,"6",45.435845999999998,12.327428500000000,1372283.063410488190129,5690399.493372233584523
ChIJgSMI-7exfkcR3B7nnpiROBM,Trattoria Alle Burchielle,0.939114285714286,"7",45.436901200000001,12.319554300000000,1371406.511476083891466,5690566.892799021676183
ChIJgYnCfgCxfkcRZX7_vG7ztBE,Santa Scolastica,0.000000000000000,"2",45.434240699999997,12.341187000000000,1373814.652624567504972,5690144.830782008357346
ChIJgZv3SACxfkcRKrmSRs2HXN8,Patria de la campana,0.777300000000000,"1",45.436043200000000,12.335748600000001,1373209.252705837367103,5690430.777409384027123
ChIJg_bgvS-ufkcRs6s7NP-hKCM,Tratoria-Pizzeria Sottoprova,0.483357142857143,"7",45.432145599999998,12.351546200000000,1374967.833493593148887,5689812.477887974120677
ChIJga9kl8GxfkcRkB8KbQd52B8,OVS,0.349562500000000,"8",45.443758699999997,12.326452800000000,1372174.448983321199194,5691654.859121253713965
ChIJgba9G9KxfkcROZAGilD2dxM,Trattoria ai Cugnai dal 1911,0.952185714285714,"14",45.430663199999998,12.329396200000000,1372502.106772522209212,5689577.327148064039648
ChIJgdJEZZWxfkcROxJdN-UdpCo,Parrucchiera Stefania Di Fassan Stefania,0.236028571428571,"7",45.447038900000003,12.320511399999999,1371513.055360721889883,5692175.321064924821258
ChIJgxfQEduxfkcRGbPbDICznyY,Caff¨¨ del Doge,0.930650000000000,"16",45.438314900000002,12.334282600000000,1373046.058332334505394,5690791.170421100221574
ChIJh42nfdexfkcRyfkhs18FD4c,Exchange,0.076000000000000,"7",45.433567400000001,12.337138299999999,1373363.953402192564681,5690038.021549822762609
ChIJh9CBjpyxfkcRf5WvJtEtY9U,Stappo-Enoteca con cucina,0.930625000000000,"8",45.439461299999998,12.330141700000000,1372585.095452908892184,5690973.046136399731040
ChIJhSZVCa-xfkcR0KFbF_0upy4,Il Papiro,0.562575000000000,"8",45.433074400000002,12.331275200000000,1372711.276095722801983,5689959.815093027427793
ChIJhTSAZySxfkcRHakuwVHiGE8,Fried rice,0.636900000000000,"1",45.435415700000000,12.336676700000000,1373312.568325242726132,5690331.230459756217897
ChIJhVYdEgCxfkcRAHD-FvyImio,Venezia Unica Ticket Office,-0.191100000000000,"8",45.438523400000001,12.318694400000000,1371310.787845950806513,5690824.248553930781782
ChIJhWVIsHWxfkcREm-g9DIB9Us,Doner & Kebap,0.795712500000000,"8",45.437779900000002,12.342150000000000,1373921.853294201428071,5690706.294236574321985
ChIJhXOXcD6vfkcRMy5-K3G7Ea4,Coop Querini CASTELLO,0.853750000000000,"4",45.439722699999997,12.345893100000000,1374338.533280189614743,5691014.517616758123040
ChIJhYBZl9GxfkcRF77Kkmcaz0U,The Gritti Epicurean School,0.211220000000000,"5",45.431736399999998,12.333430900000000,1372951.247522025601938,5689747.566529618576169
ChIJXTj9C7GxfkcRsouKL3c4ZJM,Captain Candy,0.641537500000000,"8",45.439020800000002,12.337162700000000,1373366.669597768224776,5690903.160621976479888
ChIJXUpLbMCxfkcRDSf1COb5978,Ristorante Casa Bonita,0.759837500000000,"8",45.444667299999999,12.322881400000000,1371776.882553901989013,5691799.021605786867440
ChIJXVfGHACxfkcRZMDpSM-xppo,Trattoria Ai Botteri,0.946333333333333,"6",45.439572400000003,12.332825200000000,1372883.821306452155113,5690990.672285333275795
ChIJXximjS-xfkcRYzL-q5sK2Uc,e???e??1 Nails Venezia e???e??1,0.457514285714286,"7",45.441000199999998,12.336540599999999,1373297.417742545483634,5691217.197565740905702
