place_id,place_titl,avg_sentim,review_cou,lat,lng,geometry,x_3857,y_3857,fid,place_id_2,place_ti_1,latitude,longitude,resident,tourist,total_revi,resident_r,tourist_ra
ChIJAy5F1S-ufkcReQqjg_LgAwo,Giardini della Marinaressa,0.612400000000000,"1",45.431460299999998,12.352596800000001,POINT (12.352596799999999 45.4314603),1375084.785750620765612,5689703.769077920354903,124,ChIJAy5F1S-ufkcReQqjg_LgAwo,Giardini della Marinaressa,45.431460299999998,12.352596800000001,"1","7","8",0.125000000000000,0.875000000000000
ChIJBdfMVjCufkcR2KNvuW0YIgY,Trattoria Ai Tosi Grandi,0.540500000000000,"8",45.431180599999998,12.356668800000000,POINT (12.3566688 45.4311806),1375538.078717130469158,5689659.400780486874282,131,ChIJBdfMVjCufkcR2KNvuW0YIgY,Trattoria Ai Tosi Grandi,45.431180599999998,12.356668800000000,"8","8","16",0.500000000000000,0.500000000000000
ChIJC9bavOOxfkcRQ1E-5SEBVZw,Ristorante Wist¨¨ria,0.959575000000000,"4",45.435772800000002,12.326691800000001,POINT (12.326691799999999 45.435772799999995),1372201.054341620998457,5690387.880866996943951,134,ChIJC9bavOOxfkcRQ1E-5SEBVZw,Ristorante Wist¨¨ria,45.435772800000002,12.326691800000001,"4","4","8",0.500000000000000,0.500000000000000
ChIJCQ7qZgCxfkcRlbTHDgHEEOA,Parchetto di Sacca Fisola,0.000000000000000,"1",45.427457300000000,12.315125699999999,POINT (12.3151257 45.4274573),1370913.521979156648740,5689068.801481524482369,135,ChIJCQ7qZgCxfkcRlbTHDgHEEOA,Parchetto di Sacca Fisola,45.427457300000000,12.315125699999999,"1","1","2",0.500000000000000,0.500000000000000
ChIJCyqRDTCufkcRRl6tW0Q_Ogw,Caff¨¨ La Serra,0.813150000000000,"4",45.430785600000000,12.355385999999999,POINT (12.355386 45.4307856),1375395.278074341127649,5689596.743030274286866,138,ChIJCyqRDTCufkcRRl6tW0Q_Ogw,Caff¨¨ La Serra,45.430785600000000,12.355385999999999,"4","12","16",0.250000000000000,0.750000000000000
ChIJDSpovNOxfkcRFQ9KM9XzE9o,L'arte di Casanova,0.883600000000000,"1",45.443372699999998,12.324973500000000,POINT (12.324973499999999 45.4433727),1372009.774060590658337,5691593.615361022762954,140,ChIJDSpovNOxfkcRFQ9KM9XzE9o,L'arte di Casanova,45.443372699999998,12.324973500000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJDXW9lr2vfkcRXiUK8GgOKVc,Park Giardini Marinaressa,0.177900000000000,"1",45.430901800000001,12.354052599999999,POINT (12.3540526 45.4309018),1375246.844665317330509,5689615.175467216409743,141,ChIJDXW9lr2vfkcRXiUK8GgOKVc,Park Giardini Marinaressa,45.430901800000001,12.354052599999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJDxfGMoqxfkcRTAlVaovUJNs,RistoPub Rossini,-0.783800000000000,"1",45.435139700000001,12.333087799999999,POINT (12.3330878 45.4351397),1372913.053804734721780,5690287.446016484871507,144,ChIJDxfGMoqxfkcRTAlVaovUJNs,RistoPub Rossini,45.435139700000001,12.333087799999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJE69fW8ixfkcRHjkrAqgo0h4,Punto Immagine,0.000000000000000,"1",45.435211799999998,12.320393200000000,POINT (12.3203932 45.4352118),1371499.897396910469979,5690298.883888429030776,146,ChIJE69fW8ixfkcRHjkrAqgo0h4,Punto Immagine,45.435211799999998,12.320393200000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJE7IZRNuxfkcRHdDuaYosSmE,Sora Al Ponte,0.836100000000000,"1",45.439445200000002,12.333273300000000,POINT (12.3332733 45.439445199999994),1372933.703570276731625,5690970.491854871623218,147,ChIJE7IZRNuxfkcRHdDuaYosSmE,Sora Al Ponte,45.439445200000002,12.333273300000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJE8fuDBCxfkcRhpuO0iywaxs,Trattoria Al Bomba,0.991400000000000,"1",45.440888700000002,12.335362099999999,POINT (12.3353621 45.440888699999995),1373166.227722645504400,5691199.507508736103773,149,ChIJE8fuDBCxfkcRhpuO0iywaxs,Trattoria Al Bomba,45.440888700000002,12.335362099999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJEbIZRNuxfkcRwXqY8Zf2GJY,Vineria Pizzeria,0.000000000000000,"1",45.439312700000002,12.333200900000000,POINT (12.3332009 45.439312699999995),1372925.644039143342525,5690949.470621517859399,152,ChIJEbIZRNuxfkcRwXqY8Zf2GJY,Vineria Pizzeria,45.439312700000002,12.333200900000000,"1","7","8",0.125000000000000,0.875000000000000
ChIJFV63ZdmxfkcRFklML6Yr3x0,Pasticceria Ponte delle Paste - Venezia,0.842775000000000,"8",45.438105499999999,12.338336800000000,POINT (12.338336799999999 45.4381055),1373497.369811908574775,5690757.949627981521189,159,ChIJFV63ZdmxfkcRFklML6Yr3x0,Pasticceria Ponte delle Paste - Venezia,45.438105499999999,12.338336800000000,"8","8","16",0.500000000000000,0.500000000000000
ChIJFWEtfQ2xfkcR-fjNV3mrZ9o,i&s Farm ll Biologico di Sant'Erasmo,0.847800000000000,"1",45.441531900000001,12.333925199999999,POINT (12.3339252 45.4415319),1373006.272746324772015,5691301.555026945658028,160,ChIJFWEtfQ2xfkcR-fjNV3mrZ9o,i&s Farm ll Biologico di Sant'Erasmo,45.441531900000001,12.333925199999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJFXsk8SWufkcRBU8kXAMc5rc,TRATTORIA PIZZERIA AE DO MARIE,0.901750000000000,"2",45.436900399999999,12.347954000000000,POINT (12.347954 45.4369004),1374567.951618765480816,5690566.765883942134678,161,ChIJFXsk8SWufkcRBU8kXAMc5rc,TRATTORIA PIZZERIA AE DO MARIE,45.436900399999999,12.347954000000000,"2","6","8",0.250000000000000,0.750000000000000
