Y,X,ID,GEOHASH,NUMPOINTS
5689991.36971864,1370439.48012493,"322",u20f2nu,2
5689120.01144248,1373649.8353129,"323",u20f2vc,7
5691516.45080921,1371662.47257749,"324",u20f82s,4
5688684.36410338,1372426.84286034,"325",u20f2t3,3
5688684.36410338,1373038.33908662,"326",u20f2tm,1
5689120.01144248,1371050.97635121,"327",u20f2mb,1
5689120.01144248,1371203.85040778,"328",u20f2mc,1
5691298.56617368,1369980.85795521,"329",u20f803,1
5689773.5221989,1371050.97635121,"330",u20f2q8,6
5689337.84306121,1375331.44993518,"331",u20f3nh,4
5689773.5221989,1374567.07965232,"332",u20f2yx,7
5689555.67997988,1369980.85795521,"333",u20f2n3,1
5690644.94408602,1375178.57587861,"334",u20f3pe,2
5690862.81281247,1375178.57587861,"335",u20f3pg,8
5689991.36971864,1375790.07210489,"336",u20f3nz,5
5690209.22253948,1371509.59852092,"337",u20f2r5,13
5691516.45080921,1373955.58342604,"338",u20f8be,5
5691080.68684157,1374261.33153918,"339",u20f8bj,2
5691734.34074851,1373344.08719976,"340",u20f88z,7
5689555.67997988,1370592.3541815,"341",u20f2nm,2
5689337.84306121,1370745.22823807,"342",u20f2nn,2
5689773.5221989,1370286.60606835,"343",u20f2ne,3
5689555.67997988,1370439.48012493,"344",u20f2nk,2
5689337.84306121,1371203.85040778,"345",u20f2q1,3
5689991.36971864,1376248.6942746,"346",u20f3qf,1
5688466.54838222,1372732.59097348,"347",u20f2t5,2
5690644.94408602,1370286.60606835,"348",u20f2pe,1
5690862.81281247,1370898.10229464,"349",u20f2pz,3
5690427.08066181,1375484.32399175,"350",u20f3pm,2
5689555.67997988,1376707.31644431,"351",u20f3qm,1
5691734.34074851,1373955.58342604,"352",u20f8bg,1
5691298.56617368,1370439.48012493,"353",u20f80k,1
5691298.56617368,1370592.3541815,"354",u20f80m,1
5691734.34074851,1370592.3541815,"355",u20f80v,1
5690644.94408602,1374261.33153918,"356",u20f2zt,4
5691952.23599199,1371203.85040778,"357",u20f831,1
5691952.23599199,1371968.22069063,"358",u20f83n,4
5688902.18512334,1372579.71691691,"359",u20f2td,6
5691952.23599199,1373955.58342604,"360",u20f8c5,2
5689555.67997988,1373496.96125633,"361",u20f2y2,2
5692388.042393,1372732.59097348,"362",u20f89e,3
5689991.36971864,1370745.22823807,"363",u20f2ny,1
5689120.01144248,1376095.82021803,"364",u20f3mc,2
5691952.23599199,1371356.72446435,"365",u20f834,3
5691734.34074851,1371356.72446435,"366",u20f82f,2
5691080.68684157,1370898.10229464,"367",u20f80p,40
5690209.22253948,1371050.97635121,"368",u20f2r0,2
5690862.81281247,1374719.95370889,"369",u20f3pb,1
5692170.13654003,1372885.46503005,"370",u20f89k,1
5690862.81281247,1374108.45748261,"371",u20f2zu,6
5689555.67997988,1373802.70936947,"372",u20f2y6,6
5690862.81281247,1375331.44993518,"373",u20f3pu,1
5692170.13654003,1371509.59852092,"374",u20f837,1
5688684.36410338,1371815.34663406,"375",u20f2mm,1
5689555.67997988,1375637.19804832,"376",u20f3nq,1
5691952.23599199,1370898.10229464,"377",u20f81p,1
5690862.81281247,1374414.20559575,"378",u20f2zy,1
5692388.042393,1372426.84286034,"379",u20f899,1
5689120.01144248,1371356.72446435,"380",u20f2mf,9
5689555.67997988,1373649.8353129,"381",u20f2y3,3
5692170.13654003,1373344.08719976,"382",u20f89r,1
5689337.84306121,1375025.70182204,"383",u20f3n4,2
5691080.68684157,1374567.07965232,"384",u20f8bp,2
5689337.84306121,1371815.34663406,"385",u20f2qj,3
5689337.84306121,1373802.70936947,"386",u20f2y4,2
5689555.67997988,1375942.94616146,"387",u20f3q2,3
5690209.22253948,1369827.98389864,"388",u20f2p0,1
5689120.01144248,1372121.0947472,"389",u20f2mz,3
5691298.56617368,1370286.60606835,"390",u20f807,4
5688684.36410338,1374872.82776547,"391",u20f3j3,2
5690427.08066181,1370286.60606835,"392",u20f2p7,2
5691952.23599199,1370592.3541815,"393",u20f81j,9
5690644.94408602,1369980.85795521,"394",u20f2p9,1
5689555.67997988,1374719.95370889,"395",u20f3n2,1
5689120.01144248,1371968.22069063,"396",u20f2my,2
5689337.84306121,1374261.33153918,"397",u20f2yj,1
5689120.01144248,1373191.21314319,"398",u20f2ty,1
5690644.94408602,1375025.70182204,"399",u20f3pd,1
5689337.84306121,1370592.3541815,"400",u20f2nj,2
5689773.5221989,1369827.98389864,"401",u20f2n8,1
5689555.67997988,1374567.07965232,"402",u20f2yr,1
5689555.67997988,1371050.97635121,"403",u20f2q2,1
